Frame,Timestamp,X,Y
630,330
627,321
629,332
625,328
619,336
627,330
628,331
625,334
626,341
632,337
644,337
650,339
650,337
644,330
645,333
639,330
631,334
632,338
625,342
623,343
632,337
643,334
650,343
649,339
644,334
648,334
659,342
665,339
662,337
650,336
652,326
652,325
648,316
649,302
657,307
662,309
653,314
653,322
664,318
662,315
663,310
664,304
669,304
670,311
673,311
662,320
658,325
653,328
648,333
651,340
660,341
661,344
657,337
653,327
654,333
655,338
656,335
653,329
652,332
650,338
650,338
649,332
635,331
633,334
648,337
645,335
656,342
645,344
646,344
632,342
634,334
639,339
640,343
639,341
633,340
626,340
614,344
621,345
624,341
623,345
625,339
617,325
610,326
614,331
615,326
626,320
630,324
629,328
628,331
623,342
624,328
628,337
657,341
656,345
646,351
643,343
648,349
650,356
659,353
667,356
664,347
665,338
663,333
678,341
684,354
684,353
693,348
702,351
706,352
710,346
706,344
701,335
691,333
687,341
675,348
678,355
672,350
664,344
666,337
667,328
687,331
685,330
677,328
680,318
686,307
690,311
686,309
700,321
703,321
697,309
697,310
698,311
694,320
706,317
724,328
721,337
719,336
720,338
717,340
719,338
716,332
719,330
721,342
739,350
743,363
750,373
756,372
750,380
749,373
779,370
784,370
771,368
766,378
775,387
763,387
758,395
750,408
746,409
740,408
736,414
734,423
729,421
734,407
756,407
745,414
750,417
746,418
748,427
754,423
763,417
761,409
754,412
745,419
744,423
745,425
740,421
744,415
754,416
765,412
764,415
765,416
756,429
746,434
748,438
749,438
757,435
764,437
762,437
757,426
746,430
759,426
762,428
765,425
765,429
766,417
765,411
