Frame,Timestamp,X,Y
136,1750087757.9240708,292,292
137,1750087758.0517156,292,293
138,1750087758.1858983,292,292
139,1750087758.318837,292,292
140,1750087758.4412997,292,292
141,1750087758.5608246,292,292
142,1750087758.6840177,292,292
143,1750087758.8163726,292,292
144,1750087758.9466155,292,292
145,1750087759.0867434,292,292
146,1750087759.2143242,292,292
147,1750087759.3361661,292,292
148,1750087759.4559512,293,293
149,1750087759.5721247,292,292
150,1750087759.6989758,292,292
151,1750087759.8316278,292,293
152,1750087759.942005,292,292
153,1750087760.0468066,293,293
154,1750087760.202218,292,292
155,1750087760.3953884,293,292
156,1750087760.5057883,292,292
157,1750087760.6356838,292,293
158,1750087760.7589629,292,292
159,1750087760.8865962,293,292
160,1750087761.0110643,292,293
161,1750087761.1395764,292,292
162,1750087761.2583969,292,292
163,1750087761.37753,292,293
164,1750087761.495619,292,293
165,1750087761.6171439,292,292
166,1750087761.7526226,293,292
167,1750087761.8744144,292,292
168,1750087761.9986038,292,293
169,1750087762.1079836,292,292
170,1750087762.2441683,292,292
171,1750087762.3611684,292,292
172,1750087762.48115,292,292
173,1750087762.5913987,292,293
174,1750087762.723457,292,292
175,1750087762.8118925,292,292
176,1750087762.9757197,292,292
177,1750087763.1061099,292,293
178,1750087763.2310374,292,292
179,1750087763.356708,292,292
180,1750087763.4866652,292,292
181,1750087763.590001,292,293
182,1750087763.7132237,292,292
183,1750087763.8432508,292,292
184,1750087763.9473436,292,293
185,1750087764.04146,292,293
186,1750087764.176982,291,292
187,1750087764.3028007,292,293
188,1750087764.4387784,291,292
189,1750087764.559661,292,293
190,1750087764.6798518,292,293
191,1750087764.809788,292,292
192,1750087764.9540615,292,293
193,1750087765.0516803,292,292
194,1750087765.2251024,292,292
195,1750087765.359506,293,292
196,1750087765.4877033,292,293
197,1750087765.5829108,292,292
198,1750087765.6947103,292,292
