Frame,Timestamp,X,Y
1,1750087740.7463055,293,292
2,1750087740.883575,292,292
3,1750087741.035998,292,292
4,1750087741.179765,293,292
5,1750087741.308629,292,293
6,1750087741.4462337,292,292
7,1750087741.619051,292,293
8,1750087741.7698967,292,292
9,1750087741.926572,292,292
10,1750087742.1469908,292,292
11,1750087742.2583077,292,292
12,1750087742.4346535,292,291
13,1750087742.567893,292,293
14,1750087742.6806817,293,292
15,1750087742.845515,292,292
16,1750087742.949642,292,292
17,1750087743.094007,293,292
18,1750087743.2301319,293,292
19,1750087743.335342,293,292
20,1750087743.4771526,292,292
21,1750087743.6105442,291,292
22,1750087743.716469,291,293
23,1750087743.8431077,292,292
24,1750087743.9699078,292,292
25,1750087744.1048396,292,292
26,1750087744.2003944,293,293
27,1750087744.3200965,293,292
28,1750087744.441626,293,292
29,1750087744.5744476,293,293
30,1750087744.7045424,293,292
31,1750087744.8403888,293,292
32,1750087744.965334,293,293
33,1750087745.0637197,292,292
34,1750087745.2037942,292,293
35,1750087745.3051066,293,292
36,1750087745.4438615,293,292
37,1750087745.5684104,292,292
38,1750087745.6909752,292,293
39,1750087745.7956827,292,292
40,1750087745.9053304,292,292
41,1750087746.0400553,292,292
42,1750087746.127477,292,292
43,1750087746.256805,292,293
44,1750087746.3489223,292,292
45,1750087746.4760365,293,292
46,1750087746.5649772,293,291
47,1750087746.7005522,292,293
48,1750087746.8115468,292,292
49,1750087746.9431207,292,292
50,1750087747.0684044,292,292
51,1750087747.1923249,292,293
52,1750087747.299539,292,292
53,1750087747.4169266,292,292
54,1750087747.5458107,293,292
55,1750087747.678797,293,292
56,1750087747.8167193,293,292
57,1750087747.9356468,292,292
58,1750087748.0587935,292,293
59,1750087748.1934729,292,292
60,1750087748.302254,292,292
61,1750087748.4116535,291,292
62,1750087748.5461867,292,293
63,1750087748.6731513,292,293
64,1750087748.8219526,291,292
65,1750087748.9452462,292,292
66,1750087749.0698264,292,292
67,1750087749.1804707,293,292
68,1750087749.3212788,292,292
69,1750087749.4409075,292,292
70,1750087749.574845,292,293
71,1750087749.6999443,293,292
72,1750087749.8230402,292,292
73,1750087749.946702,292,292
74,1750087750.0776987,293,292
75,1750087750.1960154,292,292
76,1750087750.3219748,292,293
77,1750087750.4339185,292,292
78,1750087750.576597,292,293
79,1750087750.6939077,292,292
80,1750087750.7988555,293,292
81,1750087750.9956875,292,292
82,1750087751.1116712,292,292
83,1750087751.2369285,292,292
84,1750087751.3547087,292,293
85,1750087751.479269,291,292
86,1750087751.6017065,291,292
87,1750087751.7178876,291,292
88,1750087751.8475003,291,291
89,1750087751.964606,292,292
90,1750087752.0945432,292,292
91,1750087752.2025325,293,292
92,1750087752.331,293,292
93,1750087752.4459567,292,292
94,1750087752.580229,292,293
95,1750087752.6741788,292,292
96,1750087752.809217,293,292
97,1750087752.9101238,293,292
98,1750087753.04175,294,291
99,1750087753.1730425,293,292
100,1750087753.3122609,293,292
101,1750087753.480535,292,293
102,1750087753.669425,292,292
103,1750087753.7975352,292,293
104,1750087753.9347117,293,292
105,1750087754.0631242,293,292
106,1750087754.157987,292,292
107,1750087754.2829578,292,293
108,1750087754.3755965,291,292
109,1750087754.5202668,292,292
110,1750087754.6469157,291,293
111,1750087754.7711124,292,292
112,1750087754.9084556,292,293
113,1750087755.0239794,293,292
114,1750087755.1207736,292,293
115,1750087755.2256553,293,292
116,1750087755.3208208,293,293
117,1750087755.4841065,293,292
118,1750087755.613788,293,292
119,1750087755.726308,292,291
120,1750087755.8342416,292,293
121,1750087755.9707725,293,292
122,1750087756.098173,292,292
123,1750087756.203739,293,293
124,1750087756.3375885,293,292
125,1750087756.4794571,292,293
126,1750087756.5966218,293,292
127,1750087756.7257745,292,293
128,1750087756.853159,292,293
129,1750087756.9952419,292,292
130,1750087757.112781,292,292
131,1750087757.2599862,292,293
132,1750087757.4109776,292,292
133,1750087757.5351582,292,292
134,1750087757.6691349,292,293
135,1750087757.801215,293,292
